emotion,word
anticipation,conjure
trust,connective
joy,connoisseur
anger,conquest
trust,conscience
trust,conscientious
anticipation,consecration
anticipation,consequent
anticipation,conservation
trust,considerate
trust,consistency
sadness,console
trust,consort
fear,conspiracy
anger,conspirator
fear,conspire
trust,constable
trust,constancy
trust,constant
trust,constantly
anger,consternation
disgust,constipation
trust,constitute
trust,constitutional
fear,constrain
anger,constraint
trust,consul
trust,consult
anticipation,contagion
disgust,contagious
disgust,contaminate
disgust,contaminated
disgust,contamination
anger,contempt
anger,contemptible
anger,contemptuous
joy,content
anger,contentious
anticipation,contingent
anticipation,continuation
anticipation,continue
anger,contraband
anger,contradict
trust,contributor
anger,controversial
trust,convent
anticipation,convergence
trust,conveyancing
anger,convict
anticipation,convince
trust,convinced
trust,convincing
anger,coop
trust,cooperating
trust,cooperation
trust,cooperative
fear,cop
anger,copycat
joy,coronation
trust,corporation
disgust,corpse
trust,correctness
anticipation,correspondence
trust,corroborate
trust,corroboration
fear,corrosive
anger,corrupting
disgust,corruption
sadness,corse
trust,cosmopolitan
sadness,couch
disgust,cough
anticipation,council
trust,counsel
anger,counsellor
trust,counselor
trust,count
anticipation,countdown
trust,countryman
trust,county
anger,coup
fear,courageous
trust,courier
anger,court
anticipation,courtship
anticipation,cove
trust,covenant
trust,cover
disgust,coward
fear,cowardice
fear,cowardly
fear,coy
fear,coyote
anger,crabby
anger,cracked
anticipation,cradle
anticipation,cramp
anger,cranky
disgust,crap
anticipation,craps
fear,crash
anticipation,crave
anticipation,craving
disgust,crawl
anger,crazed
anger,crazy
anticipation,cream
joy,create
disgust,creature
trust,credence
trust,credential
trust,credibility
trust,credible
trust,credit
trust,creditable
anticipation,creeping
sadness,cremation
anticipation,crescendo
trust,crew
anger,crime
anger,criminal
anger,criminality
disgust,cringe
fear,cripple
sadness,crippled
trust,crisp
anger,criticism
anger,criticize
disgust,critter
fear,crocodile
anger,cross
fear,crouch
fear,crouching
anticipation,crowning
trust,crucial
anger,crucifixion
disgust,crude
anger,cruel
anger,cruelly
anger,cruelty
sadness,crumbling
anger,crunch
anger,crusade
anger,crushed
anger,crushing
disgust,crusty
sadness,cry
sadness,crying
fear,crypt
trust,cube
disgust,cuckold
joy,cuddle
anticipation,cue
trust,culinary
fear,cult
anticipation,cultivate
sadness,cumbersome
disgust,cupping
anger,cur
trust,curable
anticipation,curiosity
anger,curse
anger,cursed
anger,cursing
anger,cussed
trust,custodian
trust,custody
fear,cutter
anger,cutthroat
anger,cutting
fear,cyanide
fear,cyclone
fear,cyst
disgust,cystic
sadness,cytomegalovirus
anger,dabbling
anger,daemon
disgust,daft
fear,dagger
anticipation,daily
anger,damage
sadness,damages
anger,dame
anger,damn
anger,damnation
joy,dance
disgust,dandy
fear,danger
fear,dangerous
disgust,dank
anticipation,dare
sadness,dark
fear,darken
fear,darkened
anger,darkness
joy,darling
fear,dart
anger,dashed
anger,dastardly
joy,daughter
anticipation,dawn
trust,deacon
anger,deadly
anticipation,deal
trust,dealings
anger,death
fear,debacle
disgust,debauchery
anticipation,debenture
disgust,debris
sadness,debt
fear,decay
disgust,decayed
sadness,deceased
anger,deceit
disgust,deceitful
anger,deceive
anger,deceived
trust,deceiving
disgust,decompose
sadness,decomposed
disgust,decomposition
surprise,decoy
anger,decry
trust,deed
disgust,defamation
anger,defamatory
disgust,default
sadness,defeated
anger,defect
fear,defection
disgust,defective
fear,defend
anger,defendant
trust,defended
trust,defender
anger,defense
fear,defenseless
trust,deference
anger,defiance
anger,defiant
trust,definitive
anger,deflate
fear,deflation
disgust,deform
disgust,deformed
disgust,deformity
anger,defraud
sadness,defunct
anger,defy
anger,degeneracy
disgust,degrade
disgust,degrading
anger,delay
trust,delegate
anger,deleterious
joy,delicious
anticipation,delight
anticipation,delighted
anticipation,delightful
anger,delinquent
sadness,delirious
disgust,delirium
anticipation,deliverance
anticipation,delivery
fear,deluge
anger,delusion
anger,delusional
anger,demand
fear,demented
fear,dementia
fear,demise
anger,demolish
anger,demon
anger,demonic
joy,demonstrative
fear,demoralized
sadness,denied
anger,denounce
fear,dentistry
anger,denunciation
anger,deny
anticipation,denying
anticipation,depart
sadness,departed
sadness,departure
anticipation,depend
fear,dependence
trust,dependent
anger,deplorable
anger,deplore
fear,deport
anger,deportation
trust,depository
anger,depraved
anger,depravity
anger,depreciate
anger,depreciated
fear,depreciation
fear,depress
anger,depressed
disgust,depressing
sadness,depression
sadness,depressive
anger,deprivation
trust,depth
trust,deputy
anger,deranged
anger,derision
trust,dermatologist
anger,derogation
anger,derogatory
fear,descent
anger,desecration
anger,desert
anger,deserted
anger,deserve
trust,designation
anger,desist
fear,desolation
anger,despair
fear,despairing
anger,despicable
anger,despise
fear,despotic
anger,despotism
anticipation,destination
anticipation,destined
fear,destitute
anger,destroyed
anger,destroyer
anger,destroying
anger,destruction
anger,destructive
anger,detainee
sadness,detention
fear,deteriorate
disgust,deteriorated
anger,deterioration
anticipation,determinate
trust,determination
anger,detest
fear,detonate
anger,detonation
anger,detract
anger,devastate
anger,devastating
anger,devastation
anticipation,develop
sadness,deviation
anger,devil
disgust,devilish
trust,devotional
anticipation,devout
anger,diabolical
anticipation,diagnosis
joy,diamond
disgust,diaper
disgust,diarrhoea
joy,diary
anger,diatribe
fear,dictator
anger,dictatorial
anger,dictatorship
trust,dictionary
trust,dictum
fear,die
anticipation,dietary
trust,differential
surprise,differently
fear,difficult
sadness,difficulties
anger,difficulty
trust,digit
trust,dignity
anticipation,digress
fear,dike
disgust,dilapidated
trust,diligence
sadness,diminish
fear,dinosaur
anticipation,diplomacy
trust,diplomatic
disgust,dire
trust,director
disgust,dirt
disgust,dirty
sadness,disability
fear,disable
fear,disabled
